-8681.915,-5204.066,-5297.615,-4808.837,-1143.567,-2319.448,-4701.082,-1444.888,-4599.424,-2485.344,-1911.757,-5979.411,-4319.771,-3575.255,-5308.600,-4275.146
-8675.712,-5192.494,-5293.473,-4799.380,-1135.647,-2310.893,-4698.501,-1441.681,-4592.375,-2476.238,-1911.127,-5974.499,-4308.083,-3568.225,-5298.211,-4266.867
-8663.804,-5182.321,-5282.115,-4790.520,-1123.310,-2291.751,-4681.369,-1427.907,-4580.792,-2468.320,-1906.779,-5964.811,-4291.052,-3558.527,-5289.380,-4247.326
-8662.900,-5190.967,-5278.453,-4796.615,-1127.347,-2290.476,-4674.142,-1418.951,-4583.087,-2475.345,-1907.540,-5964.634,-4291.229,-3561.686,-5302.799,-4245.130
-8677.857,-5207.357,-5289.684,-4807.182,-1133.312,-2300.250,-4685.105,-1425.639,-4588.519,-2486.648,-1904.322,-5969.137,-4303.036,-3569.838,-5311.169,-4252.333
-8687.155,-5219.918,-5302.349,-4810.513,-1139.474,-2315.549,-4694.519,-1439.014,-4592.261,-2495.976,-1910.327,-5977.084,-4315.521,-3578.358,-5318.009,-4271.899
-8682.170,-5209.701,-5298.073,-4807.193,-1130.259,-2306.514,-4687.366,-1432.468,-4588.704,-2491.241,-1911.854,-5972.444,-4308.334,-3576.489,-5313.737,-4256.742
-8671.851,-5197.398,-5286.952,-4792.303,-1123.211,-2290.882,-4674.241,-1423.487,-4574.890,-2480.433,-1906.585,-5964.803,-4290.669,-3562.297,-5304.358,-4244.498
-8663.097,-5194.753,-5277.640,-4803.308,-1123.985,-2284.674,-4667.653,-1413.501,-4575.603,-2483.370,-1904.826,-5960.589,-4284.279,-3567.402,-5313.362,-4236.834
-8683.770,-5224.908,-5294.949,-4808.816,-1133.396,-2300.343,-4685.916,-1427.475,-4581.975,-2501.016,-1903.866,-5965.814,-4304.143,-3574.932,-5326.869,-4252.495
-8700.454,-5238.265,-5312.672,-4821.283,-1137.476,-2311.872,-4695.724,-1436.763,-4593.808,-2515.773,-1911.490,-5978.312,-4315.447,-3587.055,-5342.107,-4266.200
